,Footprint,Value,Quantity,Price,Link
"C1, C2",CP_Elec_10x10,1 mF,3,0.28,https://robu.in/product/efvm016ada102m10b0-follon-1000uf-25v-10xl10-5mm-aluminum-electrolytic-capacitors-smd-rohs/
D1 - D42,D_SOD-123,D,50,0.5,https://robu.in/product/sm4007pl-a7-slkor-1a-1kv-1-1v1a-sod-123fl-diodes-general-purpose-rohs/
D43 - D84,MX_SK6812MINI-E,SK6812MINI-E,51,5.55,https://www.etstore.in/products/e9974?variant=48993209319675
"R1, R2",603,806k,30,0.12,https://robu.in/product/0603waf8063t5e-uniohm-royal-ohm-100mw-thick-film-resistors
"R3, R4",805,2M,15,0.11,https://robu.in/product/ac0805fr-072ml-yageo-res-thick-film-0805-2m-ohm
"R5, R6",1206,330,100,0.13,https://robu.in/product/1206w4j0331t5e-uniohm-royal-ohm-250mw-thick-film-resistors-200v-%c2%b1100ppm-%e2%84%83-%c2%b15-330%cf%89-1206-chip-resistor-surface-mount-rohs/
SW1 - SW42,SW_Cherry_MX_1.00u_PCB,SW_Push,1 pack of 45,11.52,https://stackskb.com/store/akko-v3-lavender-purple-pro-switch-pack-of-45/
"U1, U2",XIAO-nRF52840-SMD,XIAO-nRF52840-SMD,2,24.06,https://www.lioncircuits.com/parts/102010448
,Keycaps,103 Key,1,10.47,https://www.amazon.in/gp/product/B0GZMBPHYB/ref=ox_sc_act_title_1?smid=A3S55Z3ML7GNN5&psc=1
,Battery,1500 mAh,2,9.33,https://robu.in/product/wly103443-1500mah-3-7v-single-cell-rechargeable-lipo-battery/
,,,Parts Shipping,2.93,
,,,PCB,39.33,
,,,Total,104.33,
