Designator,Mid X,Mid Y,Rotation,Layer
D1,52.16,-103.85,180.0,top
D10,268.9,-103.75,0.0,top
D11,52.36,-127.85,180.0,top
D12,67.96,-127.85,0.0,top
D13,86.86,-127.85,0.0,top
D14,105.96,-127.85,0.0,top
D15,124.86,-127.85,0.0,top
D16,196.15,-127.85,180.0,top
D17,211.85,-127.85,0.0,top
D18,230.85,-127.8,0.0,top
D19,249.95,-127.75,0.0,top
D2,196.2,-103.65,180.0,top
D20,268.9,-127.75,0.0,top
D21,52.16,-152.05,180.0,top
D22,67.76,-151.95,0.0,top
D23,86.71,-151.95,0.0,top
D24,105.96,-151.85,0.0,top
D25,124.61,-151.95,0.0,top
D26,196.15,-151.7,180.0,top
D27,211.75,-151.8,0.0,top
D28,230.85,-151.75,0.0,top
D29,250.0,-151.75,0.0,top
D3,67.66,-103.95,0.0,top
D30,268.9,-151.8,0.0,top
D31,48.86,-175.55,0.0,top
D32,68.06,-175.55,0.0,top
D33,86.96,-175.45,0.0,top
D34,105.66,-175.45,0.0,top
D35,124.96,-175.35,0.0,top
D36,196.15,-175.6,180.0,top
D37,211.9,-175.7,0.0,top
D38,230.85,-175.75,0.0,top
D39,250.0,-175.7,0.0,top
D4,211.9,-103.6,0.0,top
D40,268.9,-175.8,0.0,top
D41,147.36,-175.55,180.0,top
D42,173.85,-175.75,0.0,top
D5,86.86,-104.05,0.0,top
D6,105.86,-104.25,0.0,top
D7,230.75,-103.85,0.0,top
D8,249.9,-103.75,0.0,top
D9,124.81,-104.15,0.0,top
H1,33.26,-80.85,0.0,top
H2,280.3,-80.8,0.0,top
H3,152.26,-80.85,0.0,top
H4,161.25,-80.8,0.0,top
H5,33.26,-175.05,0.0,top
H6,280.3,-175.05,0.0,top
R1,135.56,-124.85,270.0,top
R2,175.45,-139.55,270.0,top
R3,137.56,-124.85,90.0,top
R4,177.35,-139.55,90.0,top
SW1,46.73,-94.34,180.0,top
SW10,266.77,-94.34,180.0,top
SW11,46.73,-118.39,180.0,top
SW12,65.69,-118.39,180.0,top
SW13,84.73,-118.39,180.0,top
SW14,103.69,-118.39,180.0,top
SW15,122.68,-118.39,180.0,top
SW16,190.73,-118.39,180.0,top
SW17,209.73,-118.39,180.0,top
SW18,228.77,-118.39,180.0,top
SW19,247.77,-118.39,180.0,top
SW2,190.73,-94.34,180.0,top
SW20,266.77,-118.39,180.0,top
SW21,46.73,-142.44,180.0,top
SW22,65.68,-142.44,180.0,top
SW23,84.68,-142.44,180.0,top
SW24,103.68,-142.44,180.0,top
SW25,122.73,-142.44,180.0,top
SW26,190.73,-142.44,180.0,top
SW27,209.73,-142.44,180.0,top
SW28,228.77,-142.44,180.0,top
SW29,247.77,-142.44,180.0,top
SW3,65.68,-94.34,180.0,top
SW30,266.77,-142.44,180.0,top
SW31,46.73,-166.49,180.0,top
SW32,65.68,-166.49,180.0,top
SW33,84.68,-166.49,180.0,top
SW34,103.68,-166.49,180.0,top
SW35,122.73,-166.49,180.0,top
SW36,190.73,-166.49,180.0,top
SW37,209.73,-166.49,180.0,top
SW38,228.77,-166.49,180.0,top
SW39,247.77,-166.49,180.0,top
SW4,209.73,-94.34,180.0,top
SW40,266.77,-166.49,180.0,top
SW41,141.75,-166.49,180.0,top
SW42,171.72,-166.49,180.0,top
SW5,84.74,-94.34,180.0,top
SW6,103.71,-94.34,180.0,top
SW7,228.77,-94.34,180.0,top
SW8,247.77,-94.34,180.0,top
SW9,122.7,-94.34,180.0,top
TP1,135.26,-117.25,0.0,top
TP2,174.65,-133.8,0.0,top
TP3,139.06,-117.35,0.0,top
TP4,178.15,-133.9,0.0,top
U1,143.547,-139.36445,0.0,top
U2,169.613,-114.33555,180.0,top
